score,distance_0,distance_1,distance_2,distance_3,distance_4
8.617330766206311e-07,1.7114270833333332,1.8436249999999998,1.9936874999999998,1.5828020833333332,1.4363124999999999
3.953784495479807e-06,2.7261354166666667,2.9833854166666667,3.1977604166666667,3.0012499999999998,2.65825
9.953338758658751e-06,3.651520833333333,3.769427083333333,3.9444999999999997,3.5371875,3.4157083333333333
1.7057642068824205e-06,3.3049479166666664,3.22634375,3.1977604166666667,2.9154999999999998,3.0905729166666664
3.3152729469649973e-06,2.9869583333333334,3.1941875,3.2191979166666664,2.9154999999999998,2.6189479166666665
1.0335940597931406e-05,3.6658125,3.769427083333333,3.9444999999999997,3.5371875,3.4442916666666665
2.4409982091820707e-07,3.865895833333333,3.7158333333333333,3.8944791666666667,3.8087291666666667,4.058833333333333
4.081711273567694e-06,4.2231875,4.437562499999999,4.669802083333333,4.358958333333333,4.0802708333333335
5.165585913870567e-07,4.116,4.1481562499999995,4.076697916666666,3.8087291666666667,3.790864583333333
2.5433030207108366e-06,4.408979166666667,4.3946875,4.626927083333333,4.584052083333333,4.634072916666667
3.005603780122985e-06,4.398260416666666,4.584052083333333,4.687666666666667,4.3017916666666665,4.058833333333333
1.8843587302520695e-06,4.61978125,4.605489583333333,4.669802083333333,4.3017916666666665,4.376822916666667
2.615074057589606e-06,4.787708333333333,4.559041666666666,4.626927083333333,4.5268854166666666,4.894895833333333
0.030806225453363034,5.605906249999999,5.187875,5.380812499999999,5.291489583333333,5.437979166666667
5.624972864683864e-06,6.427677083333333,6.341927083333333,6.131125,6.520572916666667,6.606322916666667
8.949377300008926e-06,5.034239583333333,4.959208333333333,5.173583333333333,4.948489583333333,5.105697916666666
0.1387538487043889,5.738104166666666,5.187875,5.380812499999999,5.291489583333333,5.437979166666667
1.056471063705976e-05,6.702791666666666,6.9135937499999995,6.867145833333333,6.670635416666666,6.359791666666666
3.1852569242490756e-05,4.94134375,5.187875,5.380812499999999,5.291489583333333,4.9556354166666665
2.59377797356847e-05,6.770677083333333,6.759958333333333,6.620614583333333,6.9993437499999995,6.960041666666666
