score,distance_0,distance_1,distance_2,distance_3,distance_4
3.770266327237282e-06,1.6756979166666666,1.8400520833333334,1.9936874999999998,1.5828020833333332,1.4148749999999999
3.208761146623964e-06,2.96909375,3.1906145833333333,3.2191979166666664,2.9154999999999998,2.6082291666666664
2.1348875070247564e-06,3.84803125,3.7122604166666666,3.8944791666666667,3.8087291666666667,4.048114583333333
1.3178226560934792e-05,3.63365625,3.7658541666666667,3.9444999999999997,3.5371875,3.4049895833333332
9.839022313218686e-06,4.38396875,4.580479166666667,4.687666666666667,4.3017916666666665,4.048114583333333
3.2509220019378117e-06,6.42053125,6.338354166666666,6.131125,6.520572916666667,6.6027499999999995
1.8826922999730919e-06,5.019947916666666,4.959208333333333,5.173583333333333,4.948489583333333,5.098552083333333
2.1438014256620686e-06,5.7273854166666665,5.566604166666666,5.7238125,5.702375,5.966770833333333
1.7745444524608395e-06,6.87071875,6.852854166666666,6.631333333333333,6.963614583333333,6.95646875
1.5837124014374528e-07,8.41421875,8.328468749999999,8.121239583333333,8.514260416666666,8.603583333333333
7.108743456895722e-07,6.574166666666667,6.463406249999999,6.659916666666667,6.520572916666667,6.7242291666666665
1.0303378471512229e-05,7.295895833333333,7.113677083333333,6.985052083333333,7.381645833333333,7.617458333333333
5.951509022527102e-06,6.695645833333333,6.9135937499999995,6.867145833333333,6.670635416666666,6.35621875
0.00029735323637668893,8.439229166666665,8.328468749999999,8.121239583333333,8.514260416666666,8.603583333333333
